S0,P,APE,kappa,runtime,K,dt
100,10000,0.201262,2.01515e+16,0.209259,105,0.0001
100,10000,0.0355074,1.98887e+16,0.220031,105,0.0001
100,10000,0.304864,1.99647e+16,0.206262,105,0.0001
100,10000,0.4368,2.03529e+16,0.205951,105,0.0001
100,10000,0.0767602,2.02793e+16,0.21588,105,0.0001
100,10000,0.0912651,2.06864e+16,0.209452,105,0.0001
100,10000,0.189012,1.89371e+16,0.209809,105,0.0001
100,10000,0.147374,1.91398e+16,0.204649,105,0.0001
100,10000,0.0171446,2.01094e+16,0.211849,105,0.0001
100,10000,9.10728,7.29305e+16,0.147513,100,0.0001
100,10000,9.25489,7.4036e+16,0.134705,100,0.0001
100,10000,8.19597,6.95528e+16,0.131848,100,0.0001
100,10000,9.27946,6.49055e+16,0.132579,100,0.0001
100,10000,8.79487,6.15144e+16,0.145922,100,0.0001
100,10000,11.5498,7.14654e+16,0.134283,100,0.0001
100,10000,9.55503,6.75865e+16,0.134608,100,0.0001
100,10000,10.1826,6.57601e+16,0.137932,100,0.0001
100,10000,11.2151,6.98449e+16,0.138244,100,0.0001
100,10000,11.3004,6.65359e+16,0.135518,100,0.0001
100,10000,8.78697,7.27791e+16,0.147887,100,0.0001
100,10000,9.82101,7.13402e+16,0.133858,100,0.0001
100,10000,8.31534,6.98085e+16,0.133728,100,0.0001
100,10000,10.5886,6.91607e+16,0.131778,100,0.0001
100,10000,10.4606,7.06367e+16,0.136877,100,0.0001
100,10000,10.3523,8.84197e+16,0.132464,100,0.0001
100,10000,8.91804,6.68361e+16,0.135466,100,0.0001
100,10000,9.36303,6.98006e+16,0.136163,100,0.0001
100,10000,10.0655,7.3414e+16,0.131896,100,0.0001
100,10000,8.53693,6.93627e+16,0.135721,100,0.0001
100,10000,10.8452,7.60823e+16,0.144783,100,0.0001
100,10000,9.73461,6.9281e+16,0.135897,100,0.0001
100,10000,6.10834,6.99857e+16,0.143314,100,0.0001
100,10000,9.23513,6.94453e+16,0.135952,100,0.0001
100,10000,8.42484,6.20335e+16,0.132309,100,0.0001
100,10000,8.47272,7.00084e+16,0.165982,100,0.0001
100,10000,9.69383,6.33782e+16,0.134805,100,0.0001
100,10000,9.91167,7.24886e+16,0.134525,100,0.0001
100,10000,9.47862,7.464e+16,0.146623,100,0.0001
100,10000,8.31782,7.12309e+16,0.149885,100,0.0001
100,10000,7.81874,7.49908e+16,0.135053,100,0.0001
100,10000,8.08136,7.53603e+16,0.134017,100,0.0001
100,10000,9.41806,6.90816e+16,0.138055,100,0.0001
100,10000,9.19669,7.27578e+16,0.132801,100,0.0001
100,10000,8.77207,6.61891e+16,0.134275,100,0.0001
100,10000,9.20213,6.79931e+16,0.148267,100,0.0001
100,10000,11.5197,7.26055e+16,0.134795,100,0.0001
100,10000,11.3364,7.29848e+16,0.133833,100,0.0001
100,10000,10.8603,6.73431e+16,0.132796,100,0.0001
100,10000,8.21478,7.10165e+16,0.134077,100,0.0001
100,10000,8.40367,7.36065e+16,0.135729,100,0.0001
100,10000,11.9777,7.21127e+16,0.149152,100,0.0001
100,10000,10.0488,7.39592e+16,0.146975,100,0.0001
100,10000,11.0063,7.11841e+16,0.141809,100,0.0001
100,10000,9.61267,6.85747e+16,0.17388,100,0.0001
100,10000,9.21112,6.7332e+16,0.140209,100,0.0001
100,10000,7.21501,7.00738e+16,0.134677,100,0.0001
100,10000,9.71137,7.37832e+16,0.142479,100,0.0001
100,10000,8.46032,7.0125e+16,0.147143,100,0.0001
100,10000,8.55719,6.76248e+16,0.132735,100,0.0001
100,10000,87.1702,4.62579e+17,0.0445937,95,0.0001
100,10000,154.14,1.80162e+17,0.0493383,95,0.0001
100,10000,181.747,2.43643e+17,0.0532706,95,0.0001
100,10000,206.351,2.4532e+17,0.0552202,95,0.0001
100,10000,199.062,2.24659e+17,0.0430123,95,0.0001
100,10000,196.009,4.37561e+17,0.0441654,95,0.0001
100,10000,83.2097,2.73771e+17,0.059706,95,0.0001
100,10000,148.508,4.07938e+17,0.0576189,95,0.0001
100,10000,201.167,2.52899e+17,0.0518141,95,0.0001
100,10000,149.463,3.64101e+17,0.053605,95,0.0001
100,10000,167.782,2.50782e+17,0.0436678,95,0.0001
