P,N,S0,K,T,r,v,APE
1000,5,100.0,110.0,1.0,0.05,0.2,1.4088313268213457
1000,5,100.0,110.0,1.0,0.05,0.2,1.2802063866255853
1000,5,100.0,110.0,1.0,0.05,0.2,2.3536812257796096
1000,5,100.0,110.0,1.0,0.05,0.2,2.833325181438681
1000,5,100.0,110.0,1.0,0.05,0.2,0.6498255884487338
1000,5,100.0,110.0,1.0,0.05,0.2,2.164702054599428
1000,5,100.0,110.0,1.0,0.05,0.2,0.7717641055590108
1000,5,100.0,110.0,1.0,0.05,0.2,0.6805629810264061
1000,5,100.0,110.0,1.0,0.05,0.2,2.9345300278402817
1000,5,100.0,110.0,1.0,0.05,0.2,1.257690271268102
1000,5,100.0,110.0,1.0,0.05,0.2,2.1981588816610387
1000,5,100.0,110.0,1.0,0.05,0.2,3.6221546788776995
1000,5,100.0,110.0,1.0,0.05,0.2,1.947035594648594
1000,5,100.0,110.0,1.0,0.05,0.2,1.0228641171069766
1000,5,100.0,110.0,1.0,0.05,0.2,0.9485164992603774
1000,5,100.0,110.0,1.0,0.05,0.2,2.654475846022869
1000,5,100.0,110.0,1.0,0.05,0.2,2.1992159678154417
1000,5,100.0,110.0,1.0,0.05,0.2,1.865221171486064
1000,5,100.0,110.0,1.0,0.05,0.2,3.010726617901918
1000,5,100.0,110.0,1.0,0.05,0.2,1.5989418948439322
1000,5,100.0,110.0,1.0,0.05,0.2,0.41601613055160735
1000,5,100.0,110.0,1.0,0.05,0.2,0.5166884574631894
1000,5,100.0,110.0,1.0,0.05,0.2,1.9133190190590228
1000,5,100.0,110.0,1.0,0.05,0.2,0.8227025925378402
1000,5,100.0,110.0,1.0,0.05,0.2,0.659311819209694
1000,5,100.0,110.0,1.0,0.05,0.2,1.8822163441707402
1000,5,100.0,110.0,1.0,0.05,0.2,2.0995584801071487
1000,5,100.0,110.0,1.0,0.05,0.2,1.6605392092877345
1000,5,100.0,110.0,1.0,0.05,0.2,0.9938851827393319
1000,5,100.0,110.0,1.0,0.05,0.2,1.069489951860537
1000,5,100.0,110.0,1.0,0.05,0.2,0.43433603885874095
1000,5,100.0,110.0,1.0,0.05,0.2,1.989065746996125
1000,5,100.0,110.0,1.0,0.05,0.2,0.05643235435585044
1000,5,100.0,110.0,1.0,0.05,0.2,1.5508896447060188
1000,5,100.0,110.0,1.0,0.05,0.2,1.0553881311883064
1000,5,100.0,110.0,1.0,0.05,0.2,2.979875918409838
1000,5,100.0,110.0,1.0,0.05,0.2,2.792789643404368
1000,5,100.0,110.0,1.0,0.05,0.2,1.5735219966637755
1000,5,100.0,110.0,1.0,0.05,0.2,1.5695386233676285
1000,5,100.0,110.0,1.0,0.05,0.2,1.49969605996618
1000,5,100.0,110.0,1.0,0.05,0.2,1.426573012090904
1000,5,100.0,110.0,1.0,0.05,0.2,2.0509156127048866
1000,5,100.0,110.0,1.0,0.05,0.2,1.9522029245357009
1000,5,100.0,110.0,1.0,0.05,0.2,2.4741934501695946
1000,5,100.0,110.0,1.0,0.05,0.2,0.26865312098346705
1000,5,100.0,110.0,1.0,0.05,0.2,0.07875715357886864
1000,5,100.0,110.0,1.0,0.05,0.2,1.329041063405006
