Stock_Price,Risk_Free_Rate,Strike_Price,Years_to_exp,Moneyness,Volatility,Actual Price,Pred_Price,Error,PercentError,seed,paths,steps,basis,degree
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.1958390897705637,0.12364791022943633,5.330830059812206,42.0,1000.0,365.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.295451149944109,0.02403585005589104,1.0362571575478128,42.0,10000.0,365.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.29493992136577,0.02454707863422989,1.0582977457614502,42.0,100000.0,365.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.2954226498646273,0.02406435013537278,1.0374858809457772,42.0,1000000.0,365.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.2966634694930055,0.022823530506994594,0.9839904473271285,42.0,10000000.0,365.0,0.0,2.0

40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.1958390897705637,0.12364791022943633,5.330830059812206,42.0,1000.0,365.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.174283792594419,0.14520320740558113,6.260143187074604,42.0,1000.0,730.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.2481965901589236,0.07129040984107649,3.073542116902422,42.0,1000.0,1460.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.2170286917271045,0.10245830827289559,4.417283143768238,42.0,1000.0,2920.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.36831108289511,0.04882408289511009,2.1049517800750808,42.0,1000.0,5840.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.347071067398374,0.027584067398374046,1.1892313860079424,42.0,1000.0,11680.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.30797825848042,0.011508741519580035,0.4961761596240908,42.0,1000.0,23360.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.252206710022557,0.06728028997744318,2.9006538936171307,42.0,1000.0,46720.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.344427745212913,0.024940745212913118,1.0752698856649388,42.0,1000.0,93440.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.2297186598881256,0.08976834011187451,3.8701807818657534,42.0,1000.0,186880.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.2337480503725367,0.08573894962746342,3.696461744664377,42.0,1000.0,373760.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.3024994255099775,0.016987574490022528,0.7323849838357589,42.0,1000.0,747520.0,0.0,2.0
40.0,0.06,40.0,1.0,1.0,0.2,2.319487,2.3227385272526786,0.003251527252678521,0.14018303412256766,42.0,1000.0,1495040.0,0.0,2.0


40.0,0.06,40.0,0.08333333333333333,1.0,0.2,0.83268,1.5134505428075105,0.6807705428075105,81.75656228173014,42.0,10.0,365.0,0.0,2.0
40.0,0.06,40.0,0.08333333333333333,1.0,0.2,0.83268,0.7962747807231608,0.03640521927683915,4.372054003559489,42.0,100.0,365.0,0.0,2.0
40.0,0.06,40.0,0.08333333333333333,1.0,0.2,0.83268,0.8209917492889302,0.011688250711069825,1.4036905787421128,42.0,1000.0,365.0,0.0,2.0
40.0,0.06,40.0,0.08333333333333333,1.0,0.2,0.83268,0.8153807436830857,0.017299256316914313,2.077539549036162,42.0,10000.0,365.0,0.0,2.0
40.0,0.06,40.0,0.08333333333333333,1.0,0.2,0.83268,0.8248139876306447,0.007866012369355246,0.9446620994085658,42.0,100000.0,365.0,0.0,2.0
40.0,0.06,40.0,0.08333333333333333,1.0,0.2,0.83268,0.8291413195836939,0.003538680416306117,0.42497483022362936,42.0,1000000.0,365.0,0.0,2.0
40.0,0.06,40.0,0.08333333333333333,1.0,0.2,0.83268,0.8297134939018819,0.0029665060981181046,0.35626003964525443,42.0,10000000.0,365.0,0.0,2.0


40.0,0.06,40.0,0.08333333333333333,1.0,0.2,0.83268,0.8321118073864687,0.0005681926135312487,0.06823661112687332,42.0,1000.0,110.0,0.0,2.0

40.0,0.06,40.0,0.019230769230769232,1.0,0.2,0.42201,0.4270176325434348,0.005007632543434781,1.1866146639735506,42.0,1000.0,30.0,0.0,2.0
40.0,0.06,40.0,0.019230769230769232,1.0,0.2,0.42201,0.41768514056990763,0.004324859430092365,1.0248239212559809,42.0,1000.0,120.0,0.0,2.0
40.0,0.06,40.0,0.019230769230769232,1.0,0.2,0.42201,0.43276181573978795,0.010751815739787951,2.5477632614838397,42.0,1000.0,1020.0,0.0,2.0
40.0,0.06,40.0,0.019230769230769232,1.0,0.2,0.42201,0.41987623110379196,0.0021337688962080326,0.5056204583322748,42.0,1000.0,10020.0,0.0,2.0
40.0,0.06,40.0,0.019230769230769232,1.0,0.2,0.42201,0.3866981444000634,0.035311855599936604,8.367540010885193,42.0,1000.0,100020.0,0.0,2.0
