N,P,APE,kappa,runtime,K,dt
35,10000,0.10485,3.02618e+12,0.0615761,110,0.0285714
20,10000,0.57395,2.18452e+12,0.0363828,110,0.05
15,10000,0.680485,1.93007e+12,0.0277799,110,0.0666667
10,10000,0.895435,1.49719e+12,0.0178532,110,0.1
5,10000,1.29272,9.91353e+11,0.0091317,110,0.2
3,10000,3.059,7.83566e+11,0.0050606,110,0.333333
2,10000,3.96572,6.02101e+11,0.0032422,110,0.5
1,10000,10.5412,0,0.001286,110,1
10000,10000,0.117744,2.02416e+14,20.583,110,0.0001
7500,10000,1.24672,3.85532e+14,19.167,110,0.000133333
5000,10000,0.164982,2.56248e+14,9.79891,110,0.0002
2500,10000,0.732776,1.33028e+14,4.93035,110,0.0004
1000,10000,0.61222,5.43309e+13,1.75188,110,0.001
500,10000,0.690328,2.70348e+13,0.842548,110,0.002
250,10000,0.368658,1.42967e+13,0.40759,110,0.004
200,10000,0.16899,1.18926e+13,0.328558,110,0.005
150,10000,0.953829,8.8063e+12,0.244868,110,0.00666667
100,10000,0.452459,6.52513e+12,0.164643,110,0.01
50,10000,0.0120799,3.83238e+12,0.0856881,110,0.02
35,10000,0.333893,3.14006e+12,0.0619,110,0.0285714
20,10000,0.299988,2.1554e+12,0.035927,110,0.05
15,10000,1.69147,1.91014e+12,0.0265018,110,0.0666667
10,10000,0.0187103,1.5525e+12,0.0181493,110,0.1
5,10000,1.19604,1.05792e+12,0.0091415,110,0.2
3,10000,2.3264,8.23791e+11,0.0050803,110,0.333333
2,10000,4.11215,6.23623e+11,0.0032503,110,0.5
1,10000,10.8456,0,0.0012713,110,1
10000,10000,0.249338,2.08277e+14,30.0858,110,0.0001
7500,10000,0.754302,3.80254e+14,19.4731,110,0.000133333
5000,10000,0.871205,2.54202e+14,10.2809,110,0.0002
2500,10000,0.576103,1.31513e+14,5.3355,110,0.0004
1000,10000,0.98623,5.29632e+13,1.85679,110,0.001
500,10000,0.283503,2.58388e+13,0.857147,110,0.002
250,10000,0.167603,1.39517e+13,0.423857,110,0.004
200,10000,0.910178,1.13515e+13,0.331168,110,0.005
150,10000,0.189534,9.0498e+12,0.253008,110,0.00666667
100,10000,1.39824,6.47504e+12,0.170898,110,0.01
50,10000,0.352474,3.75129e+12,0.0927913,110,0.02
35,10000,0.393617,3.04024e+12,0.0622603,110,0.0285714
20,10000,0.0945889,2.14998e+12,0.0410665,110,0.05
15,10000,0.528276,1.90738e+12,0.0271057,110,0.0666667
10,10000,0.0826084,1.51405e+12,0.0185871,110,0.1
5,10000,2.99395,1.04831e+12,0.0091582,110,0.2
3,10000,2.60943,7.51606e+11,0.0052602,110,0.333333
2,10000,4.26852,6.84313e+11,0.0033716,110,0.5
1,10000,9.65424,0,0.001393,110,1
10000,10000,0.929027,1.96666e+14,20.9954,110,0.0001
7500,10000,0.812691,3.65933e+14,19.4281,110,0.000133333
5000,10000,0.460053,2.72466e+14,9.61677,110,0.0002
2500,10000,1.24794,1.24424e+14,4.85959,110,0.0004
1000,10000,1.40121,5.32257e+13,1.7161,110,0.001
500,10000,0.0142727,2.71896e+13,0.839784,110,0.002
250,10000,0.416537,1.37419e+13,0.422432,110,0.004
200,10000,0.483721,1.13961e+13,0.326511,110,0.005
150,10000,0.111582,9.25349e+12,0.246592,110,0.00666667
100,10000,0.179909,6.38982e+12,0.166385,110,0.01
50,10000,0.519224,3.63588e+12,0.0855813,110,0.02
35,10000,0.482901,2.96636e+12,0.0612679,110,0.0285714
20,10000,0.903225,2.18523e+12,0.0437563,110,0.05
15,10000,0.608022,1.92047e+12,0.0278555,110,0.0666667
10,10000,1.38785,1.56179e+12,0.0185354,110,0.1
5,10000,1.5751,1.05092e+12,0.0088048,110,0.2
3,10000,1.66564,8.014e+11,0.0060136,110,0.333333
2,10000,4.43659,5.95524e+11,0.0033366,110,0.5
1,10000,11.7053,0,0.0013091,110,1
10000,10000,0.0530662,1.93904e+14,20.4386,110,0.0001
