N,P,APE,kappa,runtime,K,dt
500,10000,9.46896,3.30986e+15,0.449696,90,0.000166667
1000,10000,10.009,1.66054e+16,0.909668,90,8.33333e-05
5,10000,7.77405,1.63921e+15,0.0061103,90,0.0166667
10,10000,3.27917,1.33611e+15,0.0106497,90,0.00833333
50,10000,9.68872,4.66374e+15,0.0457079,90,0.00166667
100,10000,9.74136,2.47148e+16,0.0773623,90,0.000833333
500,10000,2.6776,7.9241e+15,0.447006,90,0.000166667
1000,10000,0.226243,5.79227e+16,0.87996,90,8.33333e-05
5,10000,5.77959,3.18048e+15,0.0055514,90,0.0166667
10,10000,0.23318,6.30996e+16,0.0103565,90,0.00833333
50,10000,2.56636,2.39168e+16,0.0373633,90,0.00166667
100,10000,7.84484,6.69323e+16,0.0763932,90,0.000833333
500,10000,24.0223,1.73119e+15,0.420611,90,0.000166667
1000,10000,12.9953,1.49557e+16,0.875928,90,8.33333e-05
5,10000,12.7632,9.92831e+14,0.0071832,90,0.0166667
10,10000,2.61337,2.35386e+16,0.009809,90,0.00833333
50,10000,0.937408,1.17121e+16,0.0432803,90,0.00166667
100,10000,6.76825,3.8993e+16,0.076826,90,0.000833333
500,10000,3.49335,3.46938e+16,0.447458,90,0.000166667
1000,10000,4.47302,3.77765e+16,0.825457,90,8.33333e-05
5,10000,6.12936,3.87766e+15,0.0060894,90,0.0166667
10,10000,10.4772,1.00555e+16,0.0099221,90,0.00833333
50,10000,16.2459,2.17e+16,0.0438479,90,0.00166667
100,10000,2.11521,3.26023e+16,0.076982,90,0.000833333
500,10000,3.03326,1.74761e+16,0.4275,90,0.000166667
1000,10000,15.3543,3.07944e+16,0.83529,90,8.33333e-05
5,10000,14.8999,1.03143e+15,0.0058397,90,0.0166667
10,10000,8.60312,3.03859e+15,0.0103908,90,0.00833333
50,10000,6.55407,9.06471e+15,0.0419114,90,0.00166667
100,10000,7.57404,4.43306e+16,0.0785508,90,0.000833333
500,10000,1.32662,6.15437e+16,0.443741,90,0.000166667
1000,10000,20.2953,1.67162e+16,0.741439,90,8.33333e-05
5,10000,10.9888,2.14789e+15,0.0060284,90,0.0166667
10,10000,8.77163,3.7822e+15,0.0078748,90,0.00833333
50,10000,4.19748,3.81091e+16,0.0405242,90,0.00166667
100,10000,2.72095,2.6229e+15,0.072348,90,0.000833333
500,10000,9.96407,3.3173e+16,0.343627,90,0.000166667
1000,10000,7.69435,1.50409e+16,0.696823,90,8.33333e-05
5,10000,11.2936,6.34355e+14,0.0050195,90,0.0166667
10,10000,7.43774,1.09427e+16,0.0081174,90,0.00833333
50,10000,1.38162,8.47157e+15,0.042467,90,0.00166667
100,10000,15.4338,2.28492e+16,0.0732091,90,0.000833333
500,10000,12.2069,2.46339e+16,0.34927,90,0.000166667
1000,10000,0.837632,2.03592e+16,0.708619,90,8.33333e-05
5,10000,10.6439,6.33185e+15,0.0053389,90,0.0166667
10,10000,6.9393,1.03356e+16,0.0102235,90,0.00833333
50,10000,7.63076,2.865e+16,0.0350445,90,0.00166667
100,10000,2.89086,1.22608e+17,0.0677122,90,0.000833333
500,10000,13.6637,6.61436e+15,0.35795,90,0.000166667
1000,10000,10.9634,1.14159e+16,0.743899,90,8.33333e-05
5,10000,1.82974,3.78622e+15,0.0047845,90,0.0166667
10,10000,0.0889214,2.19734e+15,0.0112273,90,0.00833333
50,10000,16.6847,5.50403e+15,0.0337252,90,0.00166667
100,10000,18.7628,6.28997e+15,0.0680764,90,0.000833333
500,10000,10.1741,5.88526e+16,0.351218,90,0.000166667
1000,10000,5.44109,1.65738e+16,1.01274,90,8.33333e-05
5,10000,5.98504,1.65858e+14,0.0050307,90,0.0166667
10,10000,11.1462,1.32732e+15,0.0088617,90,0.00833333
50,10000,0.984218,2.16871e+16,0.0401856,90,0.00166667
100,10000,16.9973,2.00132e+16,0.0782038,90,0.000833333
500,10000,6.09175,1.28502e+16,0.50623,90,0.000166667
1000,10000,12.4484,3.72641e+16,1.06287,90,8.33333e-05
5,10000,4.54292,4.16544e+15,0.0065004,90,0.0166667
10,10000,12.9248,8.789e+15,0.0103781,90,0.00833333
50,10000,21.6815,2.95135e+16,0.0390105,90,0.00166667
100,10000,11.2892,6.67576e+15,0.0805779,90,0.000833333
500,10000,19.0672,1.67398e+16,0.461261,90,0.000166667
1000,10000,21.2176,1.60426e+16,1.00015,90,8.33333e-05
5,10000,2.00116,1.82815e+15,0.0060278,90,0.0166667
10,10000,22.6867,3.4427e+16,0.0082095,90,0.00833333
50,10000,7.98381,6.85647e+15,0.0405891,90,0.00166667
100,10000,11.7622,3.59012e+15,0.0767003,90,0.000833333
500,10000,6.38275,5.99593e+15,0.45536,90,0.000166667
1000,10000,20.6739,1.65881e+16,0.922933,90,8.33333e-05
5,10000,5.13307,5.49163e+15,0.0072443,90,0.0166667
10,10000,7.69806,9.57954e+14,0.0107325,90,0.00833333
50,10000,4.08786,4.71916e+15,0.0385387,90,0.00166667
100,10000,7.14948,1.63672e+16,0.0786149,90,0.000833333
500,10000,10.3172,4.15068e+16,0.455613,90,0.000166667
1000,10000,4.38317,1.72112e+16,0.893941,90,8.33333e-05
5,10000,18.6708,1.9968e+15,0.0056844,90,0.0166667
10,10000,1.46846,1.15643e+16,0.0101678,90,0.00833333
50,10000,10.3137,3.35201e+16,0.0385854,90,0.00166667
100,10000,2.50357,1.82319e+16,0.0770957,90,0.000833333
500,10000,3.43714,2.42435e+16,0.440226,90,0.000166667
1000,10000,14.3072,6.97912e+16,0.909006,90,8.33333e-05
5,10000,1.10995,3.23823e+15,0.0052665,90,0.0166667
10,10000,4.10272,9.30753e+16,0.0105043,90,0.00833333
50,10000,13.3251,5.77465e+16,0.0409804,90,0.00166667
100,10000,8.8917,7.97662e+15,0.078474,90,0.000833333
