P,N,S0,K,T,r,v,APE
10000,10,100.0,105.0,1.0,0.05,0.2,0.9519523308213078
10000,10,100.0,105.0,1.0,0.05,0.2,0.743209282187059
10000,10,100.0,105.0,1.0,0.05,0.2,1.064365175061546
10000,10,100.0,105.0,1.0,0.05,0.2,0.9472689966694284
10000,10,100.0,105.0,1.0,0.05,0.2,0.8673766865419464
10000,10,100.0,105.0,1.0,0.05,0.2,0.9512753626602515
10000,10,100.0,105.0,1.0,0.05,0.2,0.967609321989562
10000,10,100.0,105.0,1.0,0.05,0.2,1.101265002525413
10000,10,100.0,105.0,1.0,0.05,0.2,1.2605703644447217
10000,10,100.0,105.0,1.0,0.05,0.2,0.7368812057559702
10000,10,100.0,105.0,1.0,0.05,0.2,1.1833342169849128
10000,10,100.0,105.0,1.0,0.05,0.2,0.7487275123629956
10000,10,100.0,105.0,1.0,0.05,0.2,1.3482012658989195
10000,10,100.0,105.0,1.0,0.05,0.2,0.7304734500689348
10000,10,100.0,105.0,1.0,0.05,0.2,1.013436370651296
10000,10,100.0,105.0,1.0,0.05,0.2,0.724266760531307
10000,10,100.0,105.0,1.0,0.05,0.2,1.1816388447600605
10000,10,100.0,105.0,1.0,0.05,0.2,0.9837280139863428
10000,10,100.0,105.0,1.0,0.05,0.2,0.9968856503354048
10000,10,100.0,105.0,1.0,0.05,0.2,0.5988263659756546
10000,10,100.0,105.0,1.0,0.05,0.2,0.7782364099710352
10000,10,100.0,105.0,1.0,0.05,0.2,0.9219284886925374
10000,10,100.0,105.0,1.0,0.05,0.2,1.333638642756701
10000,10,100.0,105.0,1.0,0.05,0.2,1.4543820915622707
10000,10,100.0,105.0,1.0,0.05,0.2,0.5534380951996349
10000,10,100.0,105.0,1.0,0.05,0.2,1.2742192082385122
10000,10,100.0,105.0,1.0,0.05,0.2,1.297606415732217
10000,10,100.0,105.0,1.0,0.05,0.2,0.9979781227315406
10000,10,100.0,105.0,1.0,0.05,0.2,1.01394195754913
10000,10,100.0,105.0,1.0,0.05,0.2,0.24889853472706705
10000,10,100.0,105.0,1.0,0.05,0.2,0.3191807847581179
10000,10,100.0,105.0,1.0,0.05,0.2,0.8616337878461028
10000,10,100.0,105.0,1.0,0.05,0.2,0.9950506202130467
10000,10,100.0,105.0,1.0,0.05,0.2,1.2990212420716847
10000,10,100.0,105.0,1.0,0.05,0.2,0.6962385640800572
10000,10,100.0,105.0,1.0,0.05,0.2,1.0284883633885953
10000,10,100.0,105.0,1.0,0.05,0.2,1.3258341984998459
10000,10,100.0,105.0,1.0,0.05,0.2,1.0046486182582188
10000,10,100.0,105.0,1.0,0.05,0.2,0.9516182749202341
10000,10,100.0,105.0,1.0,0.05,0.2,1.3280137029702341
10000,10,100.0,105.0,1.0,0.05,0.2,1.5008926784744883
10000,10,100.0,105.0,1.0,0.05,0.2,1.2632656330869358
10000,10,100.0,105.0,1.0,0.05,0.2,0.9893390830230232
