N,P,APE,kappa,runtime,K,dt
5,1000,2.25664,1.26674e+12,0.0021739,110,0.2
10,1000,2.99516,1.72077e+12,0.00267,110,0.1
30,1000,2.53527,2.82193e+12,0.0076421,110,0.0333333
40,1000,4.69497,3.29964e+12,0.0102118,110,0.025
50,1000,5.17989,3.95261e+12,0.0126023,110,0.02
75,1000,1.84963,4.65828e+12,0.0188505,110,0.0133333
100,1000,3.40191,6.68762e+12,0.0249,110,0.01
125,1000,2.79835,7.3266e+12,0.0303654,110,0.008
150,1000,3.87507,8.78165e+12,0.0367581,110,0.00666667
250,1000,3.11867,1.42417e+13,0.0547598,110,0.004
400,1000,2.09616,2.42114e+13,0.0928818,110,0.0025
500,1000,1.34381,2.63805e+13,0.112353,110,0.002
1000,1000,2.98131,5.30822e+13,0.220295,110,0.001
2000,1000,0.656301,1.10111e+14,0.450735,110,0.0005
3500,1000,2.39482,1.91359e+14,0.826192,110,0.000285714
5000,1000,1.17159,2.76511e+14,1.16651,110,0.0002
7500,1000,1.61145,3.80966e+14,1.74966,110,0.000133333
10000,1000,4.83797,2.00075e+14,2.30148,110,0.0001
5,1000,0.329469,1.07236e+12,0.0016415,110,0.2
10,1000,0.638991,1.60893e+12,0.0027066,110,0.1
30,1000,4.46559,2.91014e+12,0.0076869,110,0.0333333
40,1000,5.48881,3.19552e+12,0.0101287,110,0.025
50,1000,8.17922,3.49785e+12,0.0122491,110,0.02
75,1000,4.73606,5.11647e+12,0.0185203,110,0.0133333
100,1000,4.67583,6.33783e+12,0.0240962,110,0.01
125,1000,5.07347,7.18983e+12,0.030271,110,0.008
150,1000,4.22893,8.97038e+12,0.0368255,110,0.00666667
250,1000,4.21997,1.47032e+13,0.0596666,110,0.004
400,1000,7.11889,2.49602e+13,0.0941217,110,0.0025
500,1000,5.73248,3.01038e+13,0.114631,110,0.002
1000,1000,3.16441,6.07029e+13,0.219491,110,0.001
2000,1000,0.874942,1.16387e+14,0.457529,110,0.0005
3500,1000,1.91114,1.91106e+14,0.801133,110,0.000285714
5000,1000,0.0996986,2.71261e+14,1.14182,110,0.0002
7500,1000,1.34537,4.48237e+14,1.72215,110,0.000133333
10000,1000,0.243056,2.42099e+14,2.28703,110,0.0001
5,1000,1.3104,1.04751e+12,0.0016744,110,0.2
10,1000,3.33384,1.63189e+12,0.0031217,110,0.1
30,1000,2.3316,2.73633e+12,0.0074791,110,0.0333333
40,1000,0.0800961,3.46289e+12,0.0099068,110,0.025
50,1000,1.59248,3.72007e+12,0.0128012,110,0.02
75,1000,2.84388,5.22157e+12,0.0174223,110,0.0133333
100,1000,3.16296,6.26278e+12,0.0244572,110,0.01
125,1000,3.53465,8.01912e+12,0.0302043,110,0.008
150,1000,2.88242,8.40488e+12,0.0361396,110,0.00666667
250,1000,0.641567,1.29019e+13,0.058718,110,0.004
400,1000,4.11182,2.10586e+13,0.0915008,110,0.0025
500,1000,2.63173,2.29237e+13,0.114408,110,0.002
1000,1000,1.38245,5.22335e+13,0.222856,110,0.001
2000,1000,3.86362,1.02116e+14,0.467977,110,0.0005
3500,1000,2.72585,1.95213e+14,0.82845,110,0.000285714
5000,1000,0.549215,2.55385e+14,1.13479,110,0.0002
7500,1000,0.149971,4.35207e+14,1.718,110,0.000133333
10000,1000,0.618829,2.02909e+14,2.29709,110,0.0001
5,1000,4.41527,1.05027e+12,0.0016655,110,0.2
10,1000,1.01561,1.58244e+12,0.0028776,110,0.1
30,1000,0.164576,2.72304e+12,0.007554,110,0.0333333
40,1000,0.765343,3.11357e+12,0.0101002,110,0.025
50,1000,2.39508,3.73212e+12,0.0125842,110,0.02
75,1000,2.24467,4.73117e+12,0.0183213,110,0.0133333
100,1000,2.1635,6.68052e+12,0.0236,110,0.01
125,1000,1.80667,7.43319e+12,0.0301093,110,0.008
150,1000,0.965248,9.71012e+12,0.0342413,110,0.00666667
250,1000,1.00609,1.29607e+13,0.0588614,110,0.004
400,1000,3.35962,1.85899e+13,0.0920147,110,0.0025
500,1000,2.43488,2.49721e+13,0.11774,110,0.002
1000,1000,1.07619,5.0019e+13,0.223706,110,0.001
2000,1000,2.57231,1.05189e+14,0.457505,110,0.0005
3500,1000,0.108413,1.60311e+14,0.798191,110,0.000285714
5000,1000,1.71929,2.96607e+14,1.15581,110,0.0002
7500,1000,2.64311,3.42296e+14,1.80548,110,0.000133333
10000,1000,1.74193,2.00274e+14,2.35137,110,0.0001
5,1000,3.76675,8.97884e+11,0.0019344,110,0.2
10,1000,1.40605,1.29619e+12,0.0027935,110,0.1
30,1000,2.67145,2.82593e+12,0.0075981,110,0.0333333
40,1000,3.09071,3.27378e+12,0.0103839,110,0.025
50,1000,2.34193,4.14319e+12,0.0133394,110,0.02
75,1000,2.02632,4.51077e+12,0.018398,110,0.0133333
100,1000,3.91506,6.98577e+12,0.0238288,110,0.01
125,1000,0.390847,7.57485e+12,0.0300576,110,0.008
150,1000,0.599032,8.69664e+12,0.0365976,110,0.00666667
250,1000,0.298072,1.41811e+13,0.0571627,110,0.004
400,1000,2.11374,2.25766e+13,0.0928031,110,0.0025
500,1000,3.01702,2.6974e+13,0.12211,110,0.002
1000,1000,1.53351,5.34094e+13,0.243422,110,0.001
2000,1000,0.0805616,9.78394e+13,0.489162,110,0.0005
3500,1000,2.52845,1.85194e+14,0.874169,110,0.000285714
5000,1000,1.86722,2.69488e+14,1.16606,110,0.0002
7500,1000,3.05299,3.45382e+14,1.74814,110,0.000133333
10000,1000,2.27629,2.14144e+14,2.34287,110,0.0001
5,1000,3.60912,1.07467e+12,0.0016753,110,0.2
10,1000,0.574474,1.5736e+12,0.0027534,110,0.1
30,1000,0.774227,2.5764e+12,0.0076689,110,0.0333333
40,1000,4.43285,3.54997e+12,0.0098906,110,0.025
50,1000,0.911197,3.69098e+12,0.0128489,110,0.02
75,1000,0.803915,5.23141e+12,0.0185173,110,0.0133333
100,1000,0.319911,7.04764e+12,0.0242516,110,0.01
125,1000,1.28489,8.05261e+12,0.0303484,110,0.008
150,1000,1.02494,9.90421e+12,0.0359822,110,0.00666667
250,1000,0.114082,1.51495e+13,0.0582144,110,0.004
400,1000,1.81535,2.19748e+13,0.092628,110,0.0025
