N,P,APE,kappa,runtime,K,dt,runFile
1000,10000,0.294736,55265500000000.0,1.77011,110.0,0.001,0
5000,10000,0.211422,247674000000000.0,9.82335,110.0,0.0002,0
5,10000,2.3399,1081070000000.0,0.008797,110.0,0.2,0
10,10000,1.7404,1485090000000.0,0.0182093,110.0,0.1,0
100,10000,0.426024,6478110000000.0,0.167333,110.0,0.01,0
125,10000,1.37676,7500150000000.0,0.205115,110.0,0.008,0
400,10000,1.51771,21236500000000.0,0.680067,110.0,0.0025,0
500,10000,0.345201,26852900000000.0,0.862467,110.0,0.002,0
1000,10000,0.809827,53834800000000.0,1.76927,110.0,0.001,0
5000,10000,0.490006,259396000000000.0,9.74257,110.0,0.0002,0
5,10000,1.22678,1019050000000.0,0.008929,110.0,0.2,0
10,10000,0.751696,1535850000000.0,0.0180488,110.0,0.1,0
100,10000,0.263536,6533920000000.0,0.169348,110.0,0.01,0
125,10000,0.669682,7703160000000.0,0.206313,110.0,0.008,0
400,10000,1.30727,21156700000000.0,0.685403,110.0,0.0025,0
500,10000,1.48247,27492700000000.0,0.864879,110.0,0.002,0
1000,10000,0.942429,54829400000000.0,1.78905,110.0,0.001,0
5000,10000,0.294677,270966000000000.0,9.72262,110.0,0.0002,0
5,10000,1.70288,1102430000000.0,0.0089494,110.0,0.2,0
10,10000,0.0133457,1550350000000.0,0.0180213,110.0,0.1,0
100,10000,0.0588691,6237620000000.0,0.176537,110.0,0.01,0
125,10000,0.150632,7381750000000.0,0.207563,110.0,0.008,0
400,10000,0.0904282,20408800000000.0,0.671899,110.0,0.0025,0
500,10000,1.04886,26742000000000.0,0.863955,110.0,0.002,0
1000,10000,0.067889,53296900000000.0,1.76646,110.0,0.001,0
5000,10000,0.0861705,265357000000000.0,9.69919,110.0,0.0002,0
5,10000,1.5742,1107970000000.0,0.0088185,110.0,0.2,0
10,10000,1.71476,1518130000000.0,0.0176441,110.0,0.1,0
100,10000,1.14033,6334430000000.0,0.167507,110.0,0.01,0
125,10000,1.59948,7654650000000.0,0.20853,110.0,0.008,0
400,10000,1.06414,22622200000000.0,0.68905,110.0,0.0025,0
500,10000,0.151564,28535000000000.0,0.854035,110.0,0.002,0
1000,10000,0.408368,52858700000000.0,1.75868,110.0,0.001,0
5000,10000,0.745023,262065000000000.0,9.73389,110.0,0.0002,0
5,10000,2.33241,1028410000000.0,0.0085169,110.0,0.2,0
10,10000,1.12654,1540100000000.0,0.0185442,110.0,0.1,0
100,10000,1.41977,6252640000000.0,0.169611,110.0,0.01,0
125,10000,1.14376,7656690000000.0,0.208109,110.0,0.008,0
400,10000,1.22201,22393300000000.0,0.688799,110.0,0.0025,0
500,10000,0.0163564,27797900000000.0,0.859897,110.0,0.002,0
1000,10000,0.401908,51022600000000.0,1.71127,110.0,0.001,0
5000,10000,0.301061,245884000000000.0,9.76277,110.0,0.0002,0
5,10000,2.24962,1057800000000.0,0.0089086,110.0,0.2,0
10,10000,1.04932,1592090000000.0,0.0182131,110.0,0.1,0
100,10000,0.220665,6619230000000.0,0.174788,110.0,0.01,0
125,10000,0.242832,7875120000000.0,0.228527,110.0,0.008,0
400,10000,0.381603,22338900000000.0,0.689631,110.0,0.0025,0
500,10000,0.549956,27005400000000.0,0.862672,110.0,0.002,0
1000,10000,1.44474,52754900000000.0,1.72265,110.0,0.001,0
5000,10000,0.159319,259356000000000.0,9.64901,110.0,0.0002,0
5,10000,2.27405,1081240000000.0,0.0092362,110.0,0.2,0
10,10000,0.527757,1519710000000.0,0.017444,110.0,0.1,0
100,10000,0.063782,6399270000000.0,0.171319,110.0,0.01,0
125,10000,0.723937,7533730000000.0,0.207077,110.0,0.008,0
400,10000,1.23365,22661100000000.0,0.687104,110.0,0.0025,0
500,10000,0.305858,26458700000000.0,0.871823,110.0,0.002,0
1000,10000,0.502569,52219800000000.0,1.72112,110.0,0.001,0
5000,10000,0.331029,261468000000000.0,9.76024,110.0,0.0002,0
5,10000,1.35235,1066220000000.0,0.0087229,110.0,0.2,0
10,10000,0.656099,1520930000000.0,0.017893,110.0,0.1,0
100,10000,0.0640854,6318000000000.0,0.16853,110.0,0.01,0
125,10000,0.395947,7646480000000.0,0.20533,110.0,0.008,0
400,10000,0.949581,21639600000000.0,0.682518,110.0,0.0025,0
500,10000,0.906965,26959800000000.0,0.85947,110.0,0.002,0
1000,10000,0.108884,52366000000000.0,1.76137,110.0,0.001,0
5000,10000,0.586125,249613000000000.0,9.72054,110.0,0.0002,0
5,10000,1.67237,1008290000000.0,0.0088772,110.0,0.2,0
10,10000,1.34491,1510310000000.0,0.0177781,110.0,0.1,0
100,10000,0.33451,6284160000000.0,0.169945,110.0,0.01,0
125,10000,0.105858,7760290000000.0,0.207297,110.0,0.008,0
400,10000,0.219934,22948400000000.0,0.679803,110.0,0.0025,0
500,10000,0.5388,27727400000000.0,0.878531,110.0,0.002,0
1000,10000,0.434832,54766200000000.0,1.76112,110.0,0.001,0
5000,10000,0.683644,250733000000000.0,9.68761,110.0,0.0002,0
5,10000,1.70074,1030050000000.0,0.0090217,110.0,0.2,0
10,10000,1.04775,1526010000000.0,0.0178848,110.0,0.1,0
100,10000,0.856423,6320550000000.0,0.180984,110.0,0.01,0
125,10000,0.494674,7593610000000.0,0.207623,110.0,0.008,0
400,10000,0.253746,21241700000000.0,0.688525,110.0,0.0025,0
500,10000,0.970449,26593400000000.0,0.868534,110.0,0.002,0
1000,10000,0.474681,52588900000000.0,1.75347,110.0,0.001,0
5000,10000,0.438424,252472000000000.0,9.81695,110.0,0.0002,0
5,10000,2.43628,1123600000000.0,0.0087391,110.0,0.2,0
10,10000,1.42329,1558480000000.0,0.0183663,110.0,0.1,0
100,10000,0.996972,6220490000000.0,0.168595,110.0,0.01,0
125,10000,0.558862,7520430000000.0,0.207785,110.0,0.008,0
400,10000,1.06002,22419100000000.0,0.677826,110.0,0.0025,0
500,10000,0.0665114,26740800000000.0,0.863414,110.0,0.002,0
1000,10000,0.531437,51835600000000.0,1.7255,110.0,0.001,0
5000,10000,0.17986,255756000000000.0,9.63927,110.0,0.0002,0
5,10000,1.31301,1021520000000.0,0.0086089,110.0,0.2,0
