N,P,APE,kappa,runtime,K,dt,runFile
5,10000,0.6397,4461040000000.0,0.0046798,90.0,0.2,0
10,10000,0.230915,14911600000000.0,0.0072908,90.0,0.1,0
100,10000,2.54021,1069770000000000.0,0.0800969,90.0,0.01,0
125,10000,0.270378,513810000000000.0,0.0959933,90.0,0.008,0
400,10000,0.107413,2162810000000000.0,0.297742,90.0,0.0025,0
500,10000,0.779591,4656320000000000.0,0.390686,90.0,0.002,0
1000,10000,0.71733,1564220000000000.0,0.804839,90.0,0.001,0
5000,10000,1.80082,293607000000000.0,4.16166,90.0,0.0002,0
5,10000,0.31962,4745830000000.0,0.0046125,90.0,0.2,0
10,10000,0.273483,14621100000000.0,0.0090981,90.0,0.1,0
100,10000,1.03977,80210200000000.0,0.0943239,90.0,0.01,0
125,10000,2.53594,255333000000000.0,0.101073,90.0,0.008,0
400,10000,1.36401,124317000000000.0,0.29994,90.0,0.0025,0
500,10000,0.98851,423672000000000.0,0.401898,90.0,0.002,0
1000,10000,0.956946,432817000000000.0,0.811614,90.0,0.001,0
5000,10000,2.26656,193204000000000.0,4.24016,90.0,0.0002,0
5,10000,0.195364,3668390000000.0,0.0046764,90.0,0.2,0
10,10000,1.09013,8157610000000.0,0.0094791,90.0,0.1,0
100,10000,1.88589,147189000000000.0,0.0795077,90.0,0.01,0
125,10000,2.61754,280936000000000.0,0.123857,90.0,0.008,0
400,10000,2.71847,302330000000000.0,0.30556,90.0,0.0025,0
500,10000,1.09222,571306000000000.0,0.406793,90.0,0.002,0
1000,10000,0.132692,599863000000000.0,0.798373,90.0,0.001,0
5000,10000,2.8502,1334420000000000.0,4.14144,90.0,0.0002,0
5,10000,0.624154,5110700000000.0,0.0047024,90.0,0.2,0
10,10000,1.07446,17810700000000.0,0.0090315,90.0,0.1,0
100,10000,1.12314,103467000000000.0,0.0798081,90.0,0.01,0
125,10000,0.419973,76293900000000.0,0.0974284,90.0,0.008,0
400,10000,0.346925,1533340000000000.0,0.303962,90.0,0.0025,0
500,10000,0.305129,1195190000000000.0,0.398347,90.0,0.002,0
1000,10000,0.262407,1531880000000000.0,0.787487,90.0,0.001,0
5000,10000,1.39516,1032950000000000.0,4.21005,90.0,0.0002,0
5,10000,3.93977,4781950000000.0,0.0046861,90.0,0.2,0
10,10000,0.351157,17168700000000.0,0.0093129,90.0,0.1,0
100,10000,0.521236,402202000000000.0,0.0906189,90.0,0.01,0
125,10000,3.60343,852082000000000.0,0.0960127,90.0,0.008,0
400,10000,0.0760912,132754000000000.0,0.296033,90.0,0.0025,0
500,10000,1.33735,5718880000000000.0,0.392017,90.0,0.002,0
1000,10000,2.47059,4559720000000000.0,0.794732,90.0,0.001,0
5000,10000,1.40181,654078000000000.0,4.23505,90.0,0.0002,0
5,10000,1.82437,4179980000000.0,0.004572,90.0,0.2,0
10,10000,1.50802,16072100000000.0,0.0092015,90.0,0.1,0
100,10000,0.0289727,1106900000000000.0,0.0805556,90.0,0.01,0
125,10000,1.85418,83291500000000.0,0.0987676,90.0,0.008,0
400,10000,1.378,662714000000000.0,0.310641,90.0,0.0025,0
500,10000,2.13195,726529000000000.0,0.39152,90.0,0.002,0
1000,10000,1.84317,204323000000000.0,0.81677,90.0,0.001,0
5000,10000,0.562987,1314350000000000.0,4.1646,90.0,0.0002,0
5,10000,1.94343,4207150000000.0,0.0046831,90.0,0.2,0
10,10000,0.552814,20467400000000.0,0.0074864,90.0,0.1,0
100,10000,1.60586,383057000000000.0,0.0760423,90.0,0.01,0
125,10000,1.03807,396691000000000.0,0.10107,90.0,0.008,0
400,10000,0.61773,533143000000000.0,0.300674,90.0,0.0025,0
500,10000,1.5788,954663000000000.0,0.3923,90.0,0.002,0
1000,10000,0.149749,176077000000000.0,0.803894,90.0,0.001,0
5000,10000,0.31129,2971380000000000.0,4.23665,90.0,0.0002,0
5,10000,1.21245,3738360000000.0,0.0045838,90.0,0.2,0
10,10000,0.707772,8558440000000.0,0.0091278,90.0,0.1,0
100,10000,0.405788,174580000000000.0,0.0795034,90.0,0.01,0
125,10000,2.17101,334945000000000.0,0.0970066,90.0,0.008,0
400,10000,1.53207,1309130000000000.0,0.300347,90.0,0.0025,0
500,10000,2.39214,1451510000000000.0,0.388528,90.0,0.002,0
1000,10000,0.776133,5270650000000000.0,0.790981,90.0,0.001,0
5000,10000,0.147448,1281310000000000.0,4.14053,90.0,0.0002,0
5,10000,2.12154,4614830000000.0,0.0046466,90.0,0.2,0
10,10000,0.058014,12140800000000.0,0.0090296,90.0,0.1,0
100,10000,1.87427,802454000000000.0,0.0801452,90.0,0.01,0
125,10000,3.16725,184328000000000.0,0.0975798,90.0,0.008,0
400,10000,1.86454,1498210000000000.0,0.323417,90.0,0.0025,0
500,10000,3.94288,591309000000000.0,0.391001,90.0,0.002,0
1000,10000,3.00927,4765400000000000.0,0.802323,90.0,0.001,0
5000,10000,6.74639,1057070000000000.0,4.3033,90.0,0.0002,0
5,10000,3.68186,4216930000000.0,0.004666,90.0,0.2,0
10,10000,0.40212,14259700000000.0,0.0093554,90.0,0.1,0
100,10000,3.06327,297826000000000.0,0.0807803,90.0,0.01,0
125,10000,1.89843,200089000000000.0,0.0988324,90.0,0.008,0
400,10000,1.41462,241529000000000.0,0.307346,90.0,0.0025,0
500,10000,1.78655,2212760000000000.0,0.400813,90.0,0.002,0
1000,10000,0.753215,652463000000000.0,0.807312,90.0,0.001,0
5000,10000,0.248542,2897160000000000.0,4.15637,90.0,0.0002,0
5,10000,1.86206,4865960000000.0,0.0046229,90.0,0.2,0
10,10000,3.58868,12553200000000.0,0.0089974,90.0,0.1,0
100,10000,2.62771,233169000000000.0,0.0796702,90.0,0.01,0
125,10000,3.79508,1239890000000000.0,0.0978665,90.0,0.008,0
400,10000,0.426842,696764000000000.0,0.301076,90.0,0.0025,0
500,10000,1.07913,228754000000000.0,0.385437,90.0,0.002,0
1000,10000,0.788227,1434410000000000.0,0.798128,90.0,0.001,0
5000,10000,3.16769,570243000000000.0,4.23278,90.0,0.0002,0
5,10000,1.20716,3919670000000.0,0.004514,90.0,0.2,0
10,10000,1.23629,17204600000000.0,0.0095828,90.0,0.1,0
100,10000,0.0966133,108447000000000.0,0.0738771,90.0,0.01,0
125,10000,0.506909,325034000000000.0,0.102491,90.0,0.008,0
400,10000,1.55489,2199850000000000.0,0.297486,90.0,0.0025,0
500,10000,1.49938,199417000000000.0,0.381733,90.0,0.002,0
1000,10000,2.5666,2086160000000000.0,0.800721,90.0,0.001,0
5000,10000,0.964083,2002170000000000.0,4.29343,90.0,0.0002,0
5,10000,2.66948,4599040000000.0,0.0047533,90.0,0.2,0
10,10000,2.42888,19186600000000.0,0.0092216,90.0,0.1,0
100,10000,0.00443051,2460860000000000.0,0.0779027,90.0,0.01,0
125,10000,1.1422,110708000000000.0,0.115815,90.0,0.008,0
400,10000,1.48102,1534330000000000.0,0.300644,90.0,0.0025,0
500,10000,1.64592,2727680000000000.0,0.399616,90.0,0.002,0
1000,10000,0.954724,3739010000000000.0,0.790221,90.0,0.001,0
5000,10000,2.14125,252536000000000.0,4.20069,90.0,0.0002,0
5,10000,7.25201,4750630000000.0,0.004527,90.0,0.2,0
10,10000,6.92839,12194000000000.0,0.0088411,90.0,0.1,0
100,10000,2.18844,181412000000000.0,0.0894027,90.0,0.01,0
125,10000,1.70354,68769200000000.0,0.111422,90.0,0.008,0
400,10000,0.0517127,1251340000000000.0,0.300573,90.0,0.0025,0
500,10000,2.09388,298014000000000.0,0.399938,90.0,0.002,0
1000,10000,2.61259,2372940000000000.0,0.819658,90.0,0.001,0
5000,10000,0.132006,719185000000000.0,4.10319,90.0,0.0002,0
5,10000,4.15865,3949830000000.0,0.0046658,90.0,0.2,0
10,10000,2.53916,17245800000000.0,0.0090353,90.0,0.1,0
100,10000,0.316947,88533000000000.0,0.0798343,90.0,0.01,0
125,10000,1.53889,113678000000000.0,0.0983674,90.0,0.008,0
400,10000,0.126538,1361950000000000.0,0.322229,90.0,0.0025,0
500,10000,0.657097,3323940000000000.0,0.38838,90.0,0.002,0
1000,10000,0.504249,373060000000000.0,0.789764,90.0,0.001,0
5000,10000,0.706899,1957250000000000.0,4.1313,90.0,0.0002,0
5,10000,2.93353,5000120000000.0,0.0046499,90.0,0.2,0
10,10000,3.24192,19197500000000.0,0.009203,90.0,0.1,0
100,10000,0.928054,168517000000000.0,0.0791488,90.0,0.01,0
125,10000,0.399258,191874000000000.0,0.0996493,90.0,0.008,0
400,10000,2.54658,279806000000000.0,0.300642,90.0,0.0025,0
500,10000,0.786172,503519000000000.0,0.389246,90.0,0.002,0
1000,10000,0.935559,4218220000000000.0,0.784298,90.0,0.001,0
5000,10000,0.165801,3084440000000000.0,4.25377,90.0,0.0002,0
5,10000,7.74923,3809260000000.0,0.0045462,90.0,0.2,0
10,10000,4.67556,10273500000000.0,0.0072859,90.0,0.1,0
100,10000,0.9034,2963640000000000.0,0.0749694,90.0,0.01,0
125,10000,0.776527,109334000000000.0,0.0973775,90.0,0.008,0
400,10000,1.03435,198323000000000.0,0.302018,90.0,0.0025,0
500,10000,1.128,3208500000000000.0,0.392118,90.0,0.002,0
1000,10000,0.702007,355238000000000.0,0.794771,90.0,0.001,0
5000,10000,2.11536,2763860000000000.0,4.17749,90.0,0.0002,0
5,10000,0.507629,3438410000000.0,0.0050873,90.0,0.2,0
10,10000,0.352879,10276300000000.0,0.0094657,90.0,0.1,0
100,10000,3.86804,93330200000000.0,0.0831083,90.0,0.01,0
125,10000,4.41622,825690000000000.0,0.0975733,90.0,0.008,0
400,10000,0.751228,1001240000000000.0,0.301354,90.0,0.0025,0
500,10000,2.62216,206287000000000.0,0.388294,90.0,0.002,0
1000,10000,0.953089,880524000000000.0,0.773516,90.0,0.001,0
5000,10000,1.46193,945394000000000.0,4.25149,90.0,0.0002,0
5,10000,2.84212,4808020000000.0,0.0046327,90.0,0.2,0
10,10000,0.327729,15942500000000.0,0.0089842,90.0,0.1,0
100,10000,0.013866,316947000000000.0,0.0800608,90.0,0.01,0
125,10000,2.29741,340671000000000.0,0.0989267,90.0,0.008,0
400,10000,1.93105,2463190000000000.0,0.294792,90.0,0.0025,0
500,10000,0.138614,107860000000000.0,0.422381,90.0,0.002,0
1000,10000,1.22784,2019800000000000.0,0.814612,90.0,0.001,0
5000,10000,0.29671,2138810000000000.0,4.14624,90.0,0.0002,0
5,10000,0.960851,5501980000000.0,0.0046068,90.0,0.2,0
10,10000,0.292074,21570200000000.0,0.0092195,90.0,0.1,0
100,10000,1.26156,690175000000000.0,0.0819634,90.0,0.01,0
125,10000,0.794184,2122180000000000.0,0.0989827,90.0,0.008,0
400,10000,1.91173,8463310000000000.0,0.301229,90.0,0.0025,0
500,10000,0.335566,2168460000000000.0,0.39182,90.0,0.002,0
1000,10000,0.335336,233931000000000.0,0.795214,90.0,0.001,0
5000,10000,2.97751,2313840000000000.0,4.12783,90.0,0.0002,0
5,10000,0.574185,4731290000000.0,0.0047811,90.0,0.2,0
10,10000,2.16462,12656000000000.0,0.0093,90.0,0.1,0
100,10000,1.68114,602435000000000.0,0.0837625,90.0,0.01,0
125,10000,0.35105,762115000000000.0,0.0962355,90.0,0.008,0
400,10000,0.187429,198845000000000.0,0.318326,90.0,0.0025,0
500,10000,1.0273,831447000000000.0,0.413359,90.0,0.002,0
1000,10000,2.31103,487238000000000.0,0.791978,90.0,0.001,0
5000,10000,2.56324,2163130000000000.0,4.10359,90.0,0.0002,0
5,10000,6.05478,5618470000000.0,0.0045201,90.0,0.2,0
10,10000,3.53657,18316000000000.0,0.0095433,90.0,0.1,0
100,10000,1.12994,2064330000000000.0,0.0764821,90.0,0.01,0
125,10000,1.87928,5169450000000000.0,0.097117,90.0,0.008,0
400,10000,2.63873,389512000000000.0,0.294771,90.0,0.0025,0
500,10000,1.32103,143281000000000.0,0.389976,90.0,0.002,0
1000,10000,1.75947,891875000000000.0,0.778179,90.0,0.001,0
5000,10000,0.514733,1497520000000000.0,4.18716,90.0,0.0002,0
5,10000,2.64177,4771960000000.0,0.0046161,90.0,0.2,0
10,10000,0.651366,15829600000000.0,0.0091031,90.0,0.1,0
100,10000,3.44717,2580500000000000.0,0.0782891,90.0,0.01,0
125,10000,0.448353,1644040000000000.0,0.0990518,90.0,0.008,0
400,10000,1.60983,4761470000000000.0,0.300708,90.0,0.0025,0
500,10000,0.631827,2343890000000000.0,0.394749,90.0,0.002,0
1000,10000,0.0361712,426075000000000.0,0.817963,90.0,0.001,0
5000,10000,1.06869,1214930000000000.0,4.27464,90.0,0.0002,0
5,10000,1.13079,5463890000000.0,0.0045751,90.0,0.2,0
10,10000,2.56606,22019900000000.0,0.0076324,90.0,0.1,0
100,10000,1.50576,1312750000000000.0,0.0814155,90.0,0.01,0
125,10000,2.69411,1375960000000000.0,0.131554,90.0,0.008,0
400,10000,0.788854,1567240000000000.0,0.311293,90.0,0.0025,0
500,10000,1.87796,902540000000000.0,0.392773,90.0,0.002,0
1000,10000,0.619305,1317870000000000.0,0.815701,90.0,0.001,0
5000,10000,4.22668,3162020000000000.0,4.10713,90.0,0.0002,0
5,10000,1.82791,5284420000000.0,0.0046245,90.0,0.2,0
10,10000,2.31403,23565300000000.0,0.0094049,90.0,0.1,0
100,10000,1.78084,1171580000000000.0,0.0762806,90.0,0.01,0
125,10000,0.270857,3831600000000000.0,0.103795,90.0,0.008,0
400,10000,0.922077,126965000000000.0,0.334895,90.0,0.0025,0
500,10000,0.964721,6229850000000000.0,0.381995,90.0,0.002,0
1000,10000,0.911914,1660760000000000.0,0.801385,90.0,0.001,0
5000,10000,2.34686,3039610000000000.0,4.22137,90.0,0.0002,0
5,10000,1.16922,5612000000000.0,0.0046492,90.0,0.2,0
10,10000,3.03666,14614600000000.0,0.0094315,90.0,0.1,0
100,10000,1.7364,5615730000000000.0,0.0745458,90.0,0.01,0
125,10000,0.305678,555445000000000.0,0.108281,90.0,0.008,0
400,10000,0.959917,2429310000000000.0,0.304692,90.0,0.0025,0
500,10000,0.129415,2073950000000000.0,0.387987,90.0,0.002,0
1000,10000,1.64078,1256700000000000.0,0.82874,90.0,0.001,0
5000,10000,4.38633,1110530000000000.0,4.15441,90.0,0.0002,0
5,10000,0.438425,5705550000000.0,0.004759,90.0,0.2,0
10,10000,3.14213,9449230000000.0,0.0076067,90.0,0.1,0
100,10000,0.369677,1763030000000000.0,0.0856991,90.0,0.01,0
125,10000,0.734079,195612000000000.0,0.100439,90.0,0.008,0
400,10000,3.21989,510731000000000.0,0.305839,90.0,0.0025,0
500,10000,2.52324,168195000000000.0,0.391166,90.0,0.002,0
1000,10000,0.510438,2803210000000000.0,0.793791,90.0,0.001,0
5000,10000,1.37912,1337820000000000.0,4.15799,90.0,0.0002,0
5,10000,3.54534,5130390000000.0,0.0052992,90.0,0.2,0
10,10000,3.20989,17779000000000.0,0.0091056,90.0,0.1,0
100,10000,0.728616,141365000000000.0,0.0791792,90.0,0.01,0
125,10000,0.261944,592962000000000.0,0.0962952,90.0,0.008,0
400,10000,0.536305,2337420000000000.0,0.295445,90.0,0.0025,0
500,10000,0.408721,6193650000000000.0,0.387219,90.0,0.002,0
1000,10000,0.998537,1362310000000000.0,0.784714,90.0,0.001,0
5000,10000,1.09386,1150690000000000.0,4.1947,90.0,0.0002,0
5,10000,2.04133,5966110000000.0,0.004542,90.0,0.2,0
10,10000,1.72515,12488300000000.0,0.0074849,90.0,0.1,0
100,10000,2.70216,207661000000000.0,0.0906478,90.0,0.01,0
125,10000,3.92427,1113030000000000.0,0.0987283,90.0,0.008,0
400,10000,6.12886,664360000000000.0,0.30536,90.0,0.0025,0
500,10000,6.12128,7246890000000000.0,0.390351,90.0,0.002,0
1000,10000,3.1363,2954910000000000.0,0.7923,90.0,0.001,0
5000,10000,1.73066,399572000000000.0,4.20079,90.0,0.0002,0
5,10000,3.22163,6943680000000.0,0.0045933,90.0,0.2,0
10,10000,1.61529,27289400000000.0,0.007492,90.0,0.1,0
100,10000,0.623694,249160000000000.0,0.0752097,90.0,0.01,0
125,10000,1.38163,72900900000000.0,0.0980232,90.0,0.008,0
400,10000,3.91868,367700000000000.0,0.299373,90.0,0.0025,0
500,10000,1.82318,1587790000000000.0,0.414384,90.0,0.002,0
1000,10000,0.258451,998962000000000.0,0.767888,90.0,0.001,0
5000,10000,0.614476,2288690000000000.0,4.15225,90.0,0.0002,0
5,10000,0.212776,4013560000000.0,0.0046402,90.0,0.2,0
10,10000,0.27634,14199500000000.0,0.0095312,90.0,0.1,0
100,10000,1.81071,620211000000000.0,0.0917529,90.0,0.01,0
125,10000,1.44816,153166000000000.0,0.0986083,90.0,0.008,0
400,10000,0.535662,1718050000000000.0,0.299916,90.0,0.0025,0
500,10000,0.0698911,200010000000000.0,0.393098,90.0,0.002,0
1000,10000,1.71761,2280080000000000.0,0.776207,90.0,0.001,0
5000,10000,0.104756,3582070000000000.0,4.21767,90.0,0.0002,0
5,10000,4.95949,4465240000000.0,0.0045241,90.0,0.2,0
10,10000,5.11539,10592900000000.0,0.0078255,90.0,0.1,0
100,10000,0.424917,354139000000000.0,0.0758253,90.0,0.01,0
125,10000,0.311445,115905000000000.0,0.101953,90.0,0.008,0
400,10000,0.943544,1405820000000000.0,0.302368,90.0,0.0025,0
500,10000,1.63252,5174680000000000.0,0.389876,90.0,0.002,0
1000,10000,0.967336,58442400000000.0,0.801596,90.0,0.001,0
5000,10000,2.06623,1039490000000000.0,4.13415,90.0,0.0002,0
5,10000,2.14314,5093830000000.0,0.0045837,90.0,0.2,0
10,10000,0.181096,13933700000000.0,0.0076237,90.0,0.1,0
100,10000,0.874228,60443500000000.0,0.0765261,90.0,0.01,0
125,10000,0.0429426,602733000000000.0,0.104157,90.0,0.008,0
400,10000,0.903667,1021590000000000.0,0.29933,90.0,0.0025,0
500,10000,1.25394,6221170000000000.0,0.388594,90.0,0.002,0
1000,10000,1.31308,574760000000000.0,0.795078,90.0,0.001,0
5000,10000,3.17446,2078410000000000.0,4.22387,90.0,0.0002,0
5,10000,1.71493,4169690000000.0,0.0046571,90.0,0.2,0
10,10000,0.885019,16974100000000.0,0.0090526,90.0,0.1,0
100,10000,1.52606,254748000000000.0,0.0735085,90.0,0.01,0
125,10000,1.50392,1.64138e+16,0.102406,90.0,0.008,0
400,10000,2.61905,142599000000000.0,0.331722,90.0,0.0025,0
500,10000,2.9373,148883000000000.0,0.389262,90.0,0.002,0
1000,10000,1.40876,4424060000000000.0,0.792898,90.0,0.001,0
5000,10000,1.66082,723452000000000.0,4.24947,90.0,0.0002,0
5,10000,1.25806,3881700000000.0,0.0045776,90.0,0.2,0
10,10000,0.688946,12834400000000.0,0.0093116,90.0,0.1,0
100,10000,0.785346,189566000000000.0,0.0805671,90.0,0.01,0
125,10000,2.11598,347252000000000.0,0.102178,90.0,0.008,0
400,10000,1.13458,87105000000000.0,0.291489,90.0,0.0025,0
500,10000,1.58125,446514000000000.0,0.387674,90.0,0.002,0
1000,10000,4.57842,1609140000000000.0,0.807455,90.0,0.001,0
5000,10000,2.05231,1546320000000000.0,4.18054,90.0,0.0002,0
5,10000,1.99403,5044910000000.0,0.004607,90.0,0.2,0
10,10000,3.64265,22295500000000.0,0.0076676,90.0,0.1,0
100,10000,2.11589,518900000000000.0,0.0904384,90.0,0.01,0
125,10000,0.4221,67147100000000.0,0.0966692,90.0,0.008,0
400,10000,1.62475,113070000000000.0,0.305075,90.0,0.0025,0
500,10000,1.50112,707570000000000.0,0.384801,90.0,0.002,0
1000,10000,2.85633,2161490000000000.0,0.822406,90.0,0.001,0
5000,10000,0.213147,1481830000000000.0,4.22163,90.0,0.0002,0
5,10000,4.43033,5081130000000.0,0.0047105,90.0,0.2,0
10,10000,3.20769,21549300000000.0,0.0091177,90.0,0.1,0
100,10000,1.85788,122764000000000.0,0.0795554,90.0,0.01,0
125,10000,2.6441,83025600000000.0,0.106298,90.0,0.008,0
400,10000,0.440923,5754090000000000.0,0.303748,90.0,0.0025,0
500,10000,1.28134,188738000000000.0,0.400922,90.0,0.002,0
1000,10000,3.49218,87392500000000.0,0.808498,90.0,0.001,0
5000,10000,2.90951,1623020000000000.0,4.18085,90.0,0.0002,0
5,10000,0.796181,6102280000000.0,0.0045765,90.0,0.2,0
10,10000,3.33347,10861600000000.0,0.0074291,90.0,0.1,0
100,10000,0.163445,89844500000000.0,0.0804281,90.0,0.01,0
125,10000,0.433831,106953000000000.0,0.114278,90.0,0.008,0
400,10000,0.584083,327473000000000.0,0.298741,90.0,0.0025,0
500,10000,0.763677,1005590000000000.0,0.388609,90.0,0.002,0
1000,10000,0.148771,1709150000000000.0,0.791091,90.0,0.001,0
5000,10000,1.13051,2613600000000000.0,4.16514,90.0,0.0002,0
5,10000,0.927386,4280990000000.0,0.004633,90.0,0.2,0
10,10000,3.29578,21044000000000.0,0.007274,90.0,0.1,0
100,10000,0.261335,4567070000000000.0,0.0754999,90.0,0.01,0
125,10000,1.79719,202577000000000.0,0.0985044,90.0,0.008,0
400,10000,2.55188,4491310000000000.0,0.301691,90.0,0.0025,0
500,10000,0.863191,3945780000000000.0,0.395754,90.0,0.002,0
1000,10000,1.2415,2241820000000000.0,0.819667,90.0,0.001,0
5000,10000,2.31051,1764720000000000.0,4.13059,90.0,0.0002,0
5,10000,2.90942,5353100000000.0,0.0046306,90.0,0.2,0
10,10000,1.63052,10073900000000.0,0.0092917,90.0,0.1,0
100,10000,3.18908,126278000000000.0,0.0802092,90.0,0.01,0
125,10000,1.9196,359496000000000.0,0.0986259,90.0,0.008,0
400,10000,0.472816,132686000000000.0,0.298035,90.0,0.0025,0
500,10000,2.40196,274697000000000.0,0.391202,90.0,0.002,0
1000,10000,3.21063,3342070000000000.0,0.851231,90.0,0.001,0
5000,10000,3.2874,779545000000000.0,4.14981,90.0,0.0002,0
5,10000,1.46948,5319620000000.0,0.0045339,90.0,0.2,0
10,10000,3.44961,13776100000000.0,0.0073942,90.0,0.1,0
100,10000,0.75027,943865000000000.0,0.0758012,90.0,0.01,0
125,10000,0.372443,4578240000000000.0,0.116025,90.0,0.008,0
400,10000,1.12473,881600000000000.0,0.309049,90.0,0.0025,0
500,10000,1.72697,168174000000000.0,0.393674,90.0,0.002,0
1000,10000,4.33413,1116170000000000.0,0.785034,90.0,0.001,0
5000,10000,0.350193,2239100000000000.0,4.21174,90.0,0.0002,0
5,10000,2.6308,5960930000000.0,0.004005,90.0,0.2,0
10,10000,0.704275,14658000000000.0,0.0093145,90.0,0.1,0
100,10000,1.44643,270098000000000.0,0.0740746,90.0,0.01,0
125,10000,0.43673,247317000000000.0,0.104036,90.0,0.008,0
400,10000,2.43319,6058870000000000.0,0.297649,90.0,0.0025,0
500,10000,2.36512,175597000000000.0,0.391699,90.0,0.002,0
1000,10000,0.0524374,1067680000000000.0,0.804756,90.0,0.001,0
5000,10000,2.91708,2215320000000000.0,4.12971,90.0,0.0002,0
5,10000,3.64086,5704750000000.0,0.0047658,90.0,0.2,0
10,10000,0.659369,18936900000000.0,0.0084426,90.0,0.1,0
100,10000,2.72492,176120000000000.0,0.0745754,90.0,0.01,0
125,10000,1.74584,477248000000000.0,0.101038,90.0,0.008,0
400,10000,4.21479,589013000000000.0,0.301072,90.0,0.0025,0
500,10000,2.04649,157991000000000.0,0.402752,90.0,0.002,0
1000,10000,2.63944,892700000000000.0,0.792285,90.0,0.001,0
5000,10000,3.15068,112707000000000.0,4.0852,90.0,0.0002,0
5,10000,2.26302,5519550000000.0,0.004579,90.0,0.2,0
10,10000,0.0453277,18176400000000.0,0.0077951,90.0,0.1,0
100,10000,1.41532,37093100000000.0,0.0824766,90.0,0.01,0
125,10000,0.210966,1263620000000000.0,0.12903,90.0,0.008,0
400,10000,0.774459,916469000000000.0,0.298765,90.0,0.0025,0
500,10000,0.606495,2735360000000000.0,0.391798,90.0,0.002,0
1000,10000,0.926037,3568490000000000.0,0.818878,90.0,0.001,0
5000,10000,0.0023751,1945120000000000.0,4.23985,90.0,0.0002,0
5,10000,0.0687049,5181910000000.0,0.0046566,90.0,0.2,0
10,10000,1.68575,14293800000000.0,0.0091736,90.0,0.1,0
100,10000,0.529701,115480000000000.0,0.0939882,90.0,0.01,0
125,10000,3.71695,204173000000000.0,0.12143,90.0,0.008,0
400,10000,2.29302,1614860000000000.0,0.303668,90.0,0.0025,0
500,10000,2.92832,655405000000000.0,0.435082,90.0,0.002,0
1000,10000,1.04413,751400000000000.0,0.81699,90.0,0.001,0
5000,10000,2.82622,2124650000000000.0,4.15874,90.0,0.0002,0
5,10000,2.76377,3957650000000.0,0.0047163,90.0,0.2,0
10,10000,2.24145,9590250000000.0,0.0092714,90.0,0.1,0
100,10000,0.118755,234543000000000.0,0.0809231,90.0,0.01,0
125,10000,0.629321,447209000000000.0,0.0986215,90.0,0.008,0
400,10000,2.81277,280976000000000.0,0.301429,90.0,0.0025,0
500,10000,1.01903,791376000000000.0,0.394442,90.0,0.002,0
1000,10000,1.83062,372875000000000.0,0.781858,90.0,0.001,0
5000,10000,1.67455,2550700000000000.0,4.10939,90.0,0.0002,0
5,10000,0.143241,4279590000000.0,0.0045393,90.0,0.2,0
10,10000,1.6701,9182170000000.0,0.0073838,90.0,0.1,0
100,10000,2.99834,150751000000000.0,0.0781838,90.0,0.01,0
125,10000,5.16661,424883000000000.0,0.10144,90.0,0.008,0
400,10000,2.09932,3389960000000000.0,0.317051,90.0,0.0025,0
500,10000,1.99138,641017000000000.0,0.392328,90.0,0.002,0
1000,10000,1.9851,2054820000000000.0,0.798045,90.0,0.001,0
5000,10000,1.63463,843702000000000.0,4.20212,90.0,0.0002,0
5,10000,2.60555,5401050000000.0,0.0046368,90.0,0.2,0
10,10000,0.263303,17372500000000.0,0.009101,90.0,0.1,0
100,10000,1.38052,448548000000000.0,0.0731119,90.0,0.01,0
125,10000,1.325,580509000000000.0,0.103929,90.0,0.008,0
400,10000,1.48935,645132000000000.0,0.300125,90.0,0.0025,0
500,10000,1.45675,201415000000000.0,0.393693,90.0,0.002,0
1000,10000,0.569434,1321840000000000.0,0.783176,90.0,0.001,0
5000,10000,0.111778,3430250000000000.0,4.15064,90.0,0.0002,0
5,10000,4.36024,5415760000000.0,0.004767,90.0,0.2,0
10,10000,0.803326,33522300000000.0,0.009059,90.0,0.1,0
100,10000,1.05457,96144100000000.0,0.073478,90.0,0.01,0
125,10000,1.44586,282270000000000.0,0.100754,90.0,0.008,0
400,10000,0.945264,749133000000000.0,0.295921,90.0,0.0025,0
500,10000,0.300195,1679440000000000.0,0.390072,90.0,0.002,0
1000,10000,0.205429,2762160000000000.0,0.805862,90.0,0.001,0
5000,10000,3.33614,491680000000000.0,4.23249,90.0,0.0002,0
5,10000,6.00768,3957120000000.0,0.0045688,90.0,0.2,0
10,10000,3.53139,10384600000000.0,0.0091252,90.0,0.1,0
100,10000,1.3708,1513350000000000.0,0.0741327,90.0,0.01,0
125,10000,0.137229,549489000000000.0,0.103468,90.0,0.008,0
400,10000,2.53677,2630250000000000.0,0.29665,90.0,0.0025,0
500,10000,2.04154,389547000000000.0,0.38054,90.0,0.002,0
1000,10000,0.651065,792770000000000.0,0.789509,90.0,0.001,0
5000,10000,1.25746,2262410000000000.0,4.18756,90.0,0.0002,0
5,10000,2.74909,4104130000000.0,0.0045486,90.0,0.2,0
10,10000,3.74772,10399000000000.0,0.0076807,90.0,0.1,0
100,10000,1.25651,200366000000000.0,0.0768536,90.0,0.01,0
125,10000,1.63348,410599000000000.0,0.103534,90.0,0.008,0
400,10000,2.1482,2906530000000000.0,0.305714,90.0,0.0025,0
500,10000,2.65745,3409520000000000.0,0.397686,90.0,0.002,0
1000,10000,0.451323,813923000000000.0,0.810045,90.0,0.001,0
5000,10000,1.66849,1811440000000000.0,4.16382,90.0,0.0002,0
