Steps,Paths,AbsPercentError,Kappa,Runtime
1000,1000,0.759752,7.10259e+13,1.508
1,1000,11.5789,0,0.0011844
5,1000,5.04562,3.46911e+11,0.0051697
25,1000,0.822319,1.91835e+12,0.0256897
50,1000,0.675282,3.40296e+12,0.0438279
100,1000,0.850395,8.46444e+12,0.100958
150,1000,6.60997,1.08534e+13,0.152294
250,1000,0.796013,2.35959e+13,0.276591
500,1000,1.91258,4.8892e+13,0.594245
750,1000,7.5407,5.28563e+13,1.00349
1000,1000,1.00697,8.47315e+13,1.59985
1,1000,3.95085,0,0.0013794
5,1000,0.22594,3.78499e+11,0.0051685
25,1000,1.26726,1.86194e+12,0.0270134
50,1000,1.81338,2.95382e+12,0.0426464
100,1000,1.72555,8.51885e+12,0.100188
150,1000,3.60706,1.46017e+13,0.145211
250,1000,4.72529,2.08362e+13,0.262393
500,1000,0.853225,4.32318e+13,0.610752
750,1000,4.53826,6.09115e+13,1.09854
1000,1000,6.94818,7.15304e+13,1.65167
1,1000,5.52919,0,0.0012336
5,1000,3.80346,4.12011e+11,0.0062208
25,1000,1.65983,2.5329e+12,0.0241205
50,1000,5.56909,5.39136e+12,0.04501
100,1000,2.41694,7.15482e+12,0.103246
150,1000,6.12724,1.57419e+13,0.152713
250,1000,4.27084,2.02231e+13,0.276368
500,1000,3.82497,3.81833e+13,0.608828
750,1000,11.2488,7.65089e+13,1.12364
1000,1000,1.91617,9.48483e+13,1.68836
1,1000,7.67653,0,0.005251
5,1000,1.05515,2.56288e+11,0.0093289
25,1000,2.24766,6.81536e+11,0.0340272
50,1000,2.39016,1.05881e+12,0.0587734
100,1000,2.37378,1.66436e+12,0.103395
150,1000,3.31583,2.1473e+12,0.178155
250,1000,5.89278,2.55811e+12,0.322372
500,1000,0.0106123,6.09599e+12,0.764697
750,1000,2.68505,8.20458e+12,1.42156
1000,1000,3.69768,1.10612e+13,1.85829
1,1000,6.33106,0,0.0011213
5,1000,2.71889,2.38571e+11,0.0047515
25,1000,3.6221,6.39018e+11,0.02487
50,1000,0.952935,1.0713e+12,0.0544474
100,1000,2.93232,1.69299e+12,0.106634
150,1000,2.36516,2.1531e+12,0.164089
250,1000,0.998557,3.33121e+12,0.297889
500,1000,2.52224,5.97077e+12,0.767434
750,1000,2.52188,7.70887e+12,1.18779
1000,1000,1.78165,1.10288e+13,1.86954
1,1000,10.2552,0,0.001388
5,1000,1.24029,2.50187e+11,0.007806
25,1000,0.250091,7.19807e+11,0.0286
50,1000,4.65292,1.03627e+12,0.0492188
100,1000,3.60765,1.54537e+12,0.104152
150,1000,1.07475,1.87607e+12,0.181708
250,1000,0.821908,2.76523e+12,0.288119
500,1000,2.87825,5.74921e+12,0.670972
750,1000,3.12061,8.85362e+12,1.25124
1000,1000,4.68592,1.0034e+13,1.74673
1,1000,10.423,0,0.0009687
5,1000,2.37174,2.72603e+11,0.0046004
25,1000,2.06549,7.14862e+11,0.0282267
50,1000,3.04174,1.02247e+12,0.0488735
100,1000,4.94573,1.55358e+12,0.104865
150,1000,1.32034,2.01375e+12,0.195647
250,1000,0.0440651,3.21522e+12,0.295398
500,1000,0.252118,5.04453e+12,0.752706
