1,10000,6.85653,0,0.0095923,102.5,1
2,10000,7.16091,9.1332e+11,0.011235,102.5,0.5
3,10000,7.21078,1.19039e+12,0.0210825,102.5,0.333333
4,10000,7.30312,1.51401e+12,0.0269435,102.5,0.25
5,10000,7.3305,1.72477e+12,0.0211591,102.5,0.2
6,10000,7.31753,2.02005e+12,0.0300036,102.5,0.166667
7,10000,7.2666,2.57283e+12,0.025191,102.5,0.142857
8,10000,7.36483,2.46172e+12,0.0301126,102.5,0.125
9,10000,7.31093,2.98023e+12,0.0340942,102.5,0.111111
10,10000,7.32751,2.92983e+12,0.0426163,102.5,0.1
12,10000,7.29256,3.62173e+12,0.0485822,102.5,0.0833333
14,10000,7.33375,4.53362e+12,0.0443176,102.5,0.0714286
16,10000,7.33313,4.49228e+12,0.0497372,102.5,0.0625
18,10000,7.35497,5.29798e+12,0.0518122,102.5,0.0555556
20,10000,7.34006,5.30509e+12,0.0650912,102.5,0.05
25,10000,7.33069,6.74833e+12,0.0781568,102.5,0.04
30,10000,7.28693,7.32741e+12,0.127953,102.5,0.0333333
35,10000,7.31177,8.6332e+12,0.0969663,102.5,0.0285714
40,10000,7.30879,8.97087e+12,0.134268,102.5,0.025
50,10000,7.2594,1.09718e+13,0.167052,102.5,0.02
1,10000,6.55203,0,0.0039019,102.5,1
2,10000,7.04012,8.15235e+11,0.0084236,102.5,0.5
3,10000,7.24442,1.13837e+12,0.0134882,102.5,0.333333
4,10000,7.35523,1.35796e+12,0.015672,102.5,0.25
5,10000,7.39855,1.70833e+12,0.0179046,102.5,0.2
6,10000,7.34691,2.05301e+12,0.0248261,102.5,0.166667
7,10000,7.35501,2.43901e+12,0.0249052,102.5,0.142857
8,10000,7.32427,2.45581e+12,0.0254883,102.5,0.125
9,10000,7.40459,2.95675e+12,0.0263302,102.5,0.111111
10,10000,7.38951,3.09789e+12,0.0300193,102.5,0.1
12,10000,7.47319,3.54831e+12,0.0354251,102.5,0.0833333
14,10000,7.45863,4.33188e+12,0.0420482,102.5,0.0714286
16,10000,7.41382,4.49569e+12,0.0454345,102.5,0.0625
18,10000,7.44578,4.88818e+12,0.0504553,102.5,0.0555556
20,10000,7.32284,5.16626e+12,0.0557634,102.5,0.05
25,10000,7.35348,6.46898e+12,0.0831954,102.5,0.04
30,10000,7.39116,7.32227e+12,0.0943076,102.5,0.0333333
35,10000,7.4408,8.49762e+12,0.115408,102.5,0.0285714
40,10000,7.39975,9.0866e+12,0.126871,102.5,0.025
50,10000,7.41255,1.14897e+13,0.150726,102.5,0.02
1,10000,6.58596,0,0.0042447,102.5,1
2,10000,6.93056,9.20632e+11,0.0111674,102.5,0.5
3,10000,7.15872,1.28511e+12,0.0166351,102.5,0.333333
4,10000,7.14533,1.42237e+12,0.0153668,102.5,0.25
5,10000,7.18816,1.79566e+12,0.0193241,102.5,0.2
6,10000,7.22556,2.19929e+12,0.0199322,102.5,0.166667
7,10000,7.32616,2.36e+12,0.0247678,102.5,0.142857
8,10000,7.28402,2.54631e+12,0.0274935,102.5,0.125
9,10000,7.37776,2.90851e+12,0.0335855,102.5,0.111111
10,10000,7.35868,3.06206e+12,0.0380438,102.5,0.1
12,10000,7.31776,3.80386e+12,0.0388814,102.5,0.0833333
14,10000,7.36964,4.02684e+12,0.0524291,102.5,0.0714286
16,10000,7.30177,4.72062e+12,0.0464038,102.5,0.0625
18,10000,7.31724,5.02904e+12,0.0483432,102.5,0.0555556
20,10000,7.3347,5.21669e+12,0.0618284,102.5,0.05
25,10000,7.34395,6.5063e+12,0.0707568,102.5,0.04
30,10000,7.40937,7.70901e+12,0.0972731,102.5,0.0333333
35,10000,7.39599,8.43629e+12,0.123586,102.5,0.0285714
40,10000,7.35181,9.13617e+12,0.140704,102.5,0.025
50,10000,7.28518,1.01415e+13,0.158719,102.5,0.02
1,10000,6.71363,0,0.0035999,102.5,1
2,10000,7.034,8.72543e+11,0.008869,102.5,0.5
3,10000,7.13713,1.0734e+12,0.012275,102.5,0.333333
4,10000,7.13222,1.61217e+12,0.0134735,102.5,0.25
5,10000,7.03684,1.7697e+12,0.0170477,102.5,0.2
6,10000,7.17416,2.06303e+12,0.0183039,102.5,0.166667
7,10000,7.10811,2.28879e+12,0.0193006,102.5,0.142857
8,10000,7.12269,2.56074e+12,0.0218881,102.5,0.125
9,10000,7.1035,2.99182e+12,0.0277248,102.5,0.111111
10,10000,7.14606,2.99328e+12,0.0287797,102.5,0.1
12,10000,7.23931,3.51732e+12,0.0396259,102.5,0.0833333
14,10000,7.18921,3.88869e+12,0.0390929,102.5,0.0714286
16,10000,7.22095,4.50994e+12,0.0466809,102.5,0.0625
18,10000,7.18463,5.32601e+12,0.055,102.5,0.0555556
20,10000,7.20027,5.35016e+12,0.061624,102.5,0.05
25,10000,7.24975,6.49951e+12,0.0782446,102.5,0.04
30,10000,7.19802,7.49048e+12,0.0897126,102.5,0.0333333
35,10000,7.34229,8.05463e+12,0.0959416,102.5,0.0285714
40,10000,7.2475,8.70037e+12,0.130228,102.5,0.025
50,10000,7.39522,1.03994e+13,0.146432,102.5,0.02
1,10000,6.57565,0,0.0036339,102.5,1
2,10000,6.81878,9.03243e+11,0.010244,102.5,0.5
3,10000,7.03349,1.13752e+12,0.0137438,102.5,0.333333
4,10000,7.07848,1.51367e+12,0.0160221,102.5,0.25
5,10000,7.11956,1.73965e+12,0.0188773,102.5,0.2
6,10000,7.10416,2.02581e+12,0.0259569,102.5,0.166667
7,10000,7.23468,2.4694e+12,0.0273284,102.5,0.142857
8,10000,7.13872,2.5277e+12,0.032033,102.5,0.125
9,10000,7.15501,2.77608e+12,0.0345313,102.5,0.111111
10,10000,7.12551,3.00754e+12,0.0308154,102.5,0.1
12,10000,7.10949,3.89602e+12,0.03464,102.5,0.0833333
14,10000,7.22325,4.04876e+12,0.0423635,102.5,0.0714286
16,10000,7.25205,4.81084e+12,0.0510121,102.5,0.0625
18,10000,7.246,5.0098e+12,0.0625106,102.5,0.0555556
20,10000,7.29601,5.36286e+12,0.0581956,102.5,0.05
25,10000,7.21016,6.53344e+12,0.0800701,102.5,0.04
30,10000,7.23404,7.46026e+12,0.096632,102.5,0.0333333
35,10000,7.26774,8.06801e+12,0.108558,102.5,0.0285714
40,10000,7.19947,8.86434e+12,0.120964,102.5,0.025
50,10000,7.28298,1.08264e+13,0.178965,102.5,0.02
1,10000,6.68348,0,0.0033253,102.5,1
2,10000,7.01033,8.57061e+11,0.0089578,102.5,0.5
3,10000,7.1081,1.1866e+12,0.0113814,102.5,0.333333
4,10000,7.27116,1.42532e+12,0.0135467,102.5,0.25
5,10000,7.26209,1.84394e+12,0.0158034,102.5,0.2
6,10000,7.25323,1.88023e+12,0.0169697,102.5,0.166667
7,10000,7.30064,2.29156e+12,0.0215483,102.5,0.142857
8,10000,7.35058,2.40968e+12,0.0250153,102.5,0.125
9,10000,7.35052,2.87242e+12,0.0276068,102.5,0.111111
10,10000,7.38188,3.13506e+12,0.0326464,102.5,0.1
12,10000,7.29127,3.45298e+12,0.0473738,102.5,0.0833333
14,10000,7.36893,3.97114e+12,0.0465903,102.5,0.0714286
16,10000,7.34972,4.52473e+12,0.0491548,102.5,0.0625
18,10000,7.35536,4.97962e+12,0.0658083,102.5,0.0555556
20,10000,7.30515,5.63922e+12,0.0888484,102.5,0.05
25,10000,7.26099,7.52613e+12,0.0711974,102.5,0.04
30,10000,7.36841,7.28641e+12,0.0913269,102.5,0.0333333
35,10000,7.34225,8.36372e+12,0.0967294,102.5,0.0285714
