N,P,APE,kappa,runtime,K,runType
1,10000,6.65106,0.0,0.0139177,102.5,1.0
1,10000,3.61221,0.0,0.0085793,95.0,1.0
1,10000,6.64673,0.0,0.0128069,102.5,1.0
1,10000,3.59008,0.0,0.0083795,95.0,1.0
1,10000,6.69634,0.0,0.0105775,102.5,1.0
1,10000,3.73842,0.0,0.0071883,95.0,1.0
1,10000,6.62056,0.0,0.0070978,102.5,1.0
1,10000,3.64219,0.0,0.0074715,95.0,1.0
1,10000,6.64499,0.0,0.010417,102.5,1.0
1,10000,3.75514,0.0,0.0089148,95.0,1.0
1,10000,6.65836,0.0,0.0117585,102.5,1.0
1,10000,3.69133,0.0,0.0108877,95.0,1.0
1,10000,6.68563,0.0,0.0119903,102.5,1.0
1,10000,3.64682,0.0,0.0118245,95.0,1.0
1,10000,6.68879,0.0,0.0097352,102.5,1.0
1,10000,3.69554,0.0,0.006854,95.0,1.0
1,10000,6.66836,0.0,0.0075471,102.5,1.0
1,10000,3.77495,0.0,0.0087183,95.0,1.0
1,10000,6.70776,0.0,0.0084472,102.5,1.0
1,10000,3.82123,0.0,0.0072263,95.0,1.0
1,10000,6.77503,0.0,0.008002,102.5,1.0
1,10000,3.74799,0.0,0.0108732,95.0,1.0
1,10000,6.68655,0.0,0.0076124,102.5,1.0
1,10000,4.5003,0.0,0.0067528,97.5,1.0
1,10000,3.64994,0.0,0.0113719,95.0,1.0
1,10000,3.82602,0.0,0.0066258,95.0,1.0
1,10000,3.69964,0.0,0.0124895,95.0,1.0
1,10000,6.63772,0.0,0.0070392,102.5,1.0
1,10000,3.73358,0.0,0.0138904,95.0,1.0
1,10000,6.69851,0.0,0.0062427,102.5,1.0
1,10000,3.62223,0.0,0.0078807,95.0,1.0
1,10000,6.63217,0.0,0.0079546,102.5,1.0
1,10000,3.81615,0.0,0.008831,95.0,1.0
1,10000,6.74776,0.0,0.0065222,102.5,1.0
1,10000,3.61245,0.0,0.0249732,95.0,1.0
1,10000,6.66897,0.0,0.0062256,102.5,1.0
1,10000,3.72985,0.0,0.0079866,95.0,1.0
1,10000,6.68234,0.0,0.0068374,102.5,1.0
1,10000,6.6668,0.0,0.0068007,102.5,1.0
1,10000,6.71207,0.0,0.006556,102.5,1.0
1,10000,3.71006,0.0,0.0073477,95.0,1.0
1,10000,6.63229,0.0,0.0073686,102.5,1.0
1,10000,3.74951,0.0,0.0370448,95.0,1.0
1,10000,6.65027,0.0,0.0062888,102.5,1.0
1,10000,3.69584,0.0,0.0110306,95.0,1.0
1,10000,6.67402,0.0,0.0075695,102.5,1.0
1,10000,3.68382,0.0,0.0069491,95.0,1.0
1,10000,6.62561,0.0,0.0078704,102.5,1.0
